,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
0,0.01298,0.00899,0.00392,0.0051,0.00309,0.00665,0.00554,0.00827,0.00562,0.00567
1,0.00886,0.00597,0.00562,0.00886,0.00173,0.00421,0.00422,0.00438,0.00683,0.00797
2,0.00245,0.0063,0.00492,0.00522,0.00452,0.00705,0.00412,0.00542,0.00556,0.01468
3,0.00776,0.00962,0.007,0.00559,0.00865,0.00405,0.01011,0.00629,0.00442,0.00708
4,0.00745,0.00634,0.00252,0.00447,0.00988,0.00267,0.00594,0.00609,0.00471,0.00905
5,0.00361,0.00772,0.00742,0.00737,0.00455,0.00273,0.00905,0.00938,0.00551,0.00976
6,0.00969,0.00347,0.00336,0.00814,0.00444,0.00537,0.00376,0.00866,0.00537,0.00421
7,0.00562,0.00841,0.00365,0.0051,0.00306,0.00914,0.00557,0.00812,0.00917,0.00464
8,0.00344,0.00908,0.00465,0.00412,0.00836,0.0048,0.00598,0.0101,0.0054,0.01268
9,0.00254,0.00695,0.0016,0.00416,0.00372,0.00479,0.00644,0.00687,0.01207,0.00761
10,0.00643,0.007285,0.004466,0.00581,0.0052,0.00515,0.006073,0.00736,0.00647,0.00834
